variety,combination,altitude_m,annotation_method,index,treatment_no,d12,d23,d34,p12_%,p23_%,p34_%
Enrosadira,CONTROL,30,Bounded,GNDVI,1,0.0119,0.00633,0.03962,1.704844193,0.891661067,5.53165764
Enrosadira,CONTROL,30,Bounded,GNDVI,2,-0.02556,0.05132,-0.04279,-3.289740412,6.829908398,-5.330619231
Enrosadira,CONTROL,30,Bounded,GNDVI,3,-0.02861,0.00136,0.01634,-3.554562724,0.175196549,2.101253679
Enrosadira,CONTROL,30,Bounded,GNDVI,4,-0.03294,0.03697,0.02911,-4.176487668,4.891758109,3.672115762
Enrosadira,CONTROL,30,Bounded,LCI,1,0.00099,-0.02745,0.02892,0.306310933,-8.467230737,9.745872663
Enrosadira,CONTROL,30,Bounded,LCI,2,0.01856,0.00552,-0.04469,4.715674791,1.339347456,-10.70006536
Enrosadira,CONTROL,30,Bounded,LCI,3,-0.11926,0.07316,0.0448,-25.96215177,21.51125695,10.84060678
Enrosadira,CONTROL,30,Bounded,LCI,4,-0.05512,0.06544,0.04772,-14.4546339,20.0606356,12.18431716
Enrosadira,CONTROL,30,Bounded,MCARI,1,0.18351,-0.21231,0.0056,16.23722218,-16.16133474,0.50845257
Enrosadira,CONTROL,30,Bounded,MCARI,2,0.03668,0.03096,0.1255,3.435096989,2.803126536,11.05297413
Enrosadira,CONTROL,30,Bounded,MCARI,3,-0.02881,0.10251,-0.08169,-3.279823224,12.06580578,-8.579972083
Enrosadira,CONTROL,30,Bounded,MCARI,4,0.21536,-0.11888,0.10119,23.04767388,-10.3394502,9.815780718
Enrosadira,CONTROL,30,Bounded,MCARI2,1,0.01246,-0.06781,0.04854,1.410553795,-7.569761588,5.862382562
Enrosadira,CONTROL,30,Bounded,MCARI2,2,-0.05034,0.06993,-0.01795,-5.697528468,8.392932798,-1.987530048
Enrosadira,CONTROL,30,Bounded,MCARI2,3,-0.09915,0.02791,0.01374,-10.781381,3.401621712,1.619517186
Enrosadira,CONTROL,30,Bounded,MCARI2,4,-0.0229,0.02961,0.07546,-2.835804446,3.773748424,9.267526445
Enrosadira,CONTROL,30,Bounded,NDRE,1,-0.0004,-0.01783,0.0197,-0.190665948,-8.515170184,10.28393045
Enrosadira,CONTROL,30,Bounded,NDRE,2,0.01821,-0.00055,-0.03623,6.864936798,-0.194023375,-12.80569488
Enrosadira,CONTROL,30,Bounded,NDRE,3,-0.0954,0.05854,0.03731,-29.92556252,26.20517389,13.2337345
Enrosadira,CONTROL,30,Bounded,NDRE,4,-0.0441,0.05258,0.03431,-17.2413119,24.83926285,12.98337628
Enrosadira,CONTROL,30,Bounded,NDVI,1,5.00E-05,-0.01467,0.02011,0.005672916,-1.664339012,2.320132078
Enrosadira,CONTROL,30,Bounded,NDVI,2,-0.01706,0.02965,-0.012,-1.90096062,3.367860052,-1.318636398
Enrosadira,CONTROL,30,Bounded,NDVI,3,-0.02715,0.00609,0.01202,-2.960092717,0.684230454,1.341306781
Enrosadira,CONTROL,30,Bounded,NDVI,4,-0.01161,0.00795,0.02718,-1.29623489,0.899259214,3.047047626
Enrosadira,CONTROL,30,Bounded,OSAVI,1,0.00988,-0.02713,0.02984,1.401913584,-3.796364837,4.340357323
Enrosadira,CONTROL,30,Bounded,OSAVI,2,-0.02662,0.04023,-0.01651,-3.683302409,5.779333746,-2.242198142
Enrosadira,CONTROL,30,Bounded,OSAVI,3,-0.04724,0.01221,0.00698,-6.373267892,1.759414163,0.988401155
Enrosadira,CONTROL,30,Bounded,OSAVI,4,-0.01328,0.01913,0.03498,-1.923686989,2.825447042,5.024483224
Enrosadira,CONTROL,30,Bounded,SIPI2,1,0.00962,0.01222,0.01734,1.098598659,1.380352679,1.932031274
Enrosadira,CONTROL,30,Bounded,SIPI2,2,-0.0081,0.01872,-0.02231,-0.877581688,2.046145388,-2.389646223
Enrosadira,CONTROL,30,Bounded,SIPI2,3,-0.00439,-0.00243,0.00449,-0.471611461,-0.262288429,0.485914434
Enrosadira,CONTROL,30,Bounded,SIPI2,4,-0.01573,0.02089,0.00443,-1.688309876,2.280639889,0.472855632
Enrosadira,CONTROL,30,Edges,GNDVI,1,-0.00055,0.00356,0.04427,-0.0788846,0.511001606,6.322199388
Enrosadira,CONTROL,30,Edges,GNDVI,2,-0.02407,0.06053,-0.04383,-3.196627803,8.304168822,-5.552029854
Enrosadira,CONTROL,30,Edges,GNDVI,3,-0.03313,0.00939,0.0134,-4.273454662,1.265292318,1.783074366
Enrosadira,CONTROL,30,Edges,GNDVI,4,-0.04778,0.05483,0.02856,-6.249419594,7.649584037,3.701394892
Enrosadira,CONTROL,30,Edges,LCI,1,-0.01377,-0.02171,0.03328,-4.062534113,-6.676281825,10.96645149
Enrosadira,CONTROL,30,Edges,LCI,2,0.01985,0.00834,-0.04884,5.159046785,2.061239067,-11.82706907
Enrosadira,CONTROL,30,Edges,LCI,3,-0.1254,0.08318,0.03965,-28.07246906,25.88849708,9.802685417
Enrosadira,CONTROL,30,Edges,LCI,4,-0.07623,0.08911,0.03486,-20.48252013,30.11073153,9.05334618
Enrosadira,CONTROL,30,Edges,MCARI,1,0.16116,-0.19444,0.00496,17.15104863,-17.66334094,0.547237279
Enrosadira,CONTROL,30,Edges,MCARI,2,0.034,0.05195,0.14195,3.748287088,5.52024746,14.2946192
Enrosadira,CONTROL,30,Edges,MCARI,3,0.00138,0.07127,-0.05194,0.189784375,9.782833988,-6.494196609
Enrosadira,CONTROL,30,Edges,MCARI,4,0.22664,-0.15044,0.13979,28.4855668,-14.7162543,16.03407082
Enrosadira,CONTROL,30,Edges,MCARI2,1,0.01824,-0.0897,0.05,2.368643523,-11.37890222,7.157161241
Enrosadira,CONTROL,30,Edges,MCARI2,2,-0.0445,0.09121,-0.00282,-5.749272297,12.50289578,-0.343600322
Enrosadira,CONTROL,30,Edges,MCARI2,3,-0.07857,0.02011,0.01984,-9.966372847,2.83326829,2.71821409
Enrosadira,CONTROL,30,Edges,MCARI2,4,0.00099,0.00699,0.10783,0.141707736,0.999126658,15.26038033
Enrosadira,CONTROL,30,Edges,NDRE,1,-0.0106,-0.01123,0.02236,-4.697311454,-5.221774287,10.9698721
Enrosadira,CONTROL,30,Edges,NDRE,2,0.01889,-0.00098,-0.04069,7.112975438,-0.344511198,-14.35369566
Enrosadira,CONTROL,30,Edges,NDRE,3,-0.102,0.06713,0.03295,-32.18467694,31.23473276,11.68228441
Enrosadira,CONTROL,30,Edges,NDRE,4,-0.06049,0.07109,0.0213,-23.80549467,36.71795507,8.046815086
Enrosadira,CONTROL,30,Edges,NDVI,1,-0.01963,-0.02051,0.02913,-2.251789789,-2.406935165,3.502839669
Enrosadira,CONTROL,30,Edges,NDVI,2,-0.01409,0.04799,-0.00938,-1.650712126,5.716627297,-1.056935945
Enrosadira,CONTROL,30,Edges,NDVI,3,-0.0296,0.01384,0.01146,-3.386258882,1.638798798,1.335102597
Enrosadira,CONTROL,30,Edges,NDVI,4,-0.0238,0.02227,0.03561,-2.753957078,2.649893921,4.127829406
Enrosadira,CONTROL,30,Edges,OSAVI,1,0.01118,-0.04531,0.03287,1.718463958,-6.846882787,5.332135076
Enrosadira,CONTROL,30,Edges,OSAVI,2,-0.02363,0.05472,-0.00839,-3.554821424,8.535316588,-1.205769875
Enrosadira,CONTROL,30,Edges,OSAVI,3,-0.03981,0.01023,0.01078,-5.923569438,1.618028283,1.67787063
Enrosadira,CONTROL,30,Edges,OSAVI,4,-0.00195,0.00907,0.05589,-0.308885936,1.441167171,8.754411274
Enrosadira,CONTROL,30,Edges,SIPI2,1,0.01379,0.0133,0.01439,1.565709264,1.486796022,1.585079326
Enrosadira,CONTROL,30,Edges,SIPI2,2,-0.00897,0.01513,-0.02422,-0.963323886,1.640675746,-2.583987599
Enrosadira,CONTROL,30,Edges,SIPI2,3,-0.0066,-0.00112,0.00314,-0.704886465,-0.120466247,0.338143078
Enrosadira,CONTROL,30,Edges,SIPI2,4,-0.01898,0.02503,-0.00077,-2.032422384,2.735874939,-0.08192265
Enrosadira,CONTROL,50,Bounded,GNDVI,1,0.01708,-0.00511,0.04249,2.478052263,-0.72345685,6.059430622
Enrosadira,CONTROL,50,Bounded,GNDVI,2,-0.01344,0.04955,-0.0391,-1.774419056,6.660026801,-4.92728164
Enrosadira,CONTROL,50,Bounded,GNDVI,3,-0.02456,-0.00549,0.02354,-3.093195097,-0.713504999,3.081349458
Enrosadira,CONTROL,50,Bounded,GNDVI,4,-0.03841,0.03259,0.03659,-4.892800412,4.364999109,4.695775599
Enrosadira,CONTROL,50,Bounded,LCI,1,0.00024,-0.04497,0.0779,0.077494099,-14.50921304,29.39944371
Enrosadira,CONTROL,50,Bounded,LCI,2,-0.01596,0.03073,-0.04117,-4.261898467,8.571324971,-10.57672299
Enrosadira,CONTROL,50,Bounded,LCI,3,-0.07183,7.00E-05,0.04634,-16.19576516,0.018833354,12.46533298
Enrosadira,CONTROL,50,Bounded,LCI,4,-0.09021,0.08852,0.02496,-23.27213252,29.76252517,6.46730977
Enrosadira,CONTROL,50,Bounded,MCARI,1,0.0257,-0.20127,0.05654,2.166562273,-16.60765518,5.594469253
Enrosadira,CONTROL,50,Bounded,MCARI,2,0.16592,0.02123,0.1367,17.6456012,1.919163704,12.12480298
Enrosadira,CONTROL,50,Bounded,MCARI,3,-0.03858,0.23414,-0.2216,-4.315672783,27.37291772,-20.33939997
Enrosadira,CONTROL,50,Bounded,MCARI,4,0.23278,-0.26952,0.29118,25.42929274,-23.47365093,33.13906046
Enrosadira,CONTROL,50,Bounded,MCARI2,1,0.00559,-0.0729,0.0694,0.630277446,-8.168058075,8.467534813
Enrosadira,CONTROL,50,Bounded,MCARI2,2,-0.05343,0.06333,-0.02483,-6.0349628,7.612593174,-2.77355483
Enrosadira,CONTROL,50,Bounded,MCARI2,3,-0.07606,-0.03279,0.07572,-8.386618019,-3.946508501,9.487877645
Enrosadira,CONTROL,50,Bounded,MCARI2,4,-0.05555,0.00411,0.10166,-6.769181276,0.537198022,13.21648329
Enrosadira,CONTROL,50,Bounded,NDRE,1,-0.00079,-0.0305,0.05593,-0.396544541,-15.37058222,33.30534565
Enrosadira,CONTROL,50,Bounded,NDRE,2,-0.01138,0.02107,-0.03243,-4.560007373,8.846213594,-12.50911279
Enrosadira,CONTROL,50,Bounded,NDRE,3,-0.05671,-0.00092,0.03686,-18.62513589,-0.371310605,14.93208454
Enrosadira,CONTROL,50,Bounded,NDRE,4,-0.07007,0.06901,0.01509,-26.90023457,36.24265405,5.816799719
Enrosadira,CONTROL,50,Bounded,NDVI,1,0.00204,-0.01801,0.02615,0.232454526,-2.047449442,3.034977095
Enrosadira,CONTROL,50,Bounded,NDVI,2,-0.01363,0.02676,-0.01037,-1.528247919,3.046999628,-1.145855087
Enrosadira,CONTROL,50,Bounded,NDVI,3,-0.02452,-0.00157,0.01702,-2.683092034,-0.176533225,1.917139475
Enrosadira,CONTROL,50,Bounded,NDVI,4,-0.01638,0.01114,0.02656,-1.831270452,1.268675669,2.986884025
Enrosadira,CONTROL,50,Bounded,OSAVI,1,0.0073,-0.03139,0.03917,1.034080752,-4.401036957,5.744656824
Enrosadira,CONTROL,50,Bounded,OSAVI,2,-0.02578,0.03721,-0.01966,-3.574692068,5.350869498,-2.68355239
Enrosadira,CONTROL,50,Bounded,OSAVI,3,-0.03528,-0.01434,0.03405,-4.804438386,-2.051381822,4.972973605
Enrosadira,CONTROL,50,Bounded,OSAVI,4,-0.02865,0.00644,0.0477,-4.112237531,0.963998258,7.071999478
Enrosadira,CONTROL,50,Bounded,SIPI2,1,0.01211,0.00567,0.0166,1.389126273,0.641489069,1.866109981
Enrosadira,CONTROL,50,Bounded,SIPI2,2,-0.0017,0.01931,-0.02092,-0.186221575,2.119204426,-2.248251211
Enrosadira,CONTROL,50,Bounded,SIPI2,3,-0.00323,-0.00263,0.00657,-0.348883303,-0.28506982,0.714168472
Enrosadira,CONTROL,50,Bounded,SIPI2,4,-0.01724,0.01638,0.01,-1.853283181,1.794083468,1.075984984
Enrosadira,CONTROL,50,Edges,GNDVI,1,0.00218,-0.01013,0.05113,0.315096748,-1.459588981,7.476228285
Enrosadira,CONTROL,50,Edges,GNDVI,2,-0.02775,0.06664,-0.04041,-3.754053363,9.366772975,-5.19347994
Enrosadira,CONTROL,50,Edges,GNDVI,3,-0.05075,-0.00782,0.02189,-6.487106955,-1.068932475,3.024520864
Enrosadira,CONTROL,50,Edges,GNDVI,4,-0.03977,0.03976,0.04425,-5.310802817,5.607257845,5.909131578
Enrosadira,CONTROL,50,Edges,LCI,1,-0.01933,-0.04178,0.08716,-5.812292713,-13.337973,32.10774292
Enrosadira,CONTROL,50,Edges,LCI,2,-0.03065,0.03632,-0.04321,-8.197576299,10.58148648,-11.38420438
